ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
-3.449999999999958078e+01,-5.349999999999962341e+01,-1.650000000000009237e+01
-3.299999999999957367e+01,-5.199999999999961631e+01,-1.600000000000007461e+01
-3.149999999999956657e+01,-5.049999999999960920e+01,-1.550000000000005329e+01
-2.999999999999955946e+01,-4.899999999999959499e+01,-1.500000000000008527e+01
-2.849999999999954881e+01,-4.749999999999958789e+01,-1.450000000000011546e+01
-2.699999999999954170e+01,-4.599999999999958078e+01,-1.400000000000009592e+01
-2.549999999999953459e+01,-4.449999999999957367e+01,-1.350000000000007638e+01
-2.399999999999952394e+01,-4.299999999999956657e+01,-1.300000000000010658e+01
-2.249999999999951683e+01,-4.149999999999955946e+01,-1.250000000000013856e+01
-2.099999999999950973e+01,-3.999999999999954525e+01,-1.200000000000011902e+01
-1.949999999999949907e+01,-3.849999999999953815e+01,-1.150000000000009948e+01
-1.799999999999949196e+01,-3.699999999999953104e+01,-1.100000000000012967e+01
-1.649999999999948130e+01,-3.549999999999952394e+01,-1.050000000000016165e+01
-1.499999999999947420e+01,-3.399999999999951683e+01,-1.000000000000014211e+01
-1.349999999999946532e+01,-3.249999999999950262e+01,-9.500000000000120792e+00
-1.199999999999945643e+01,-3.099999999999949551e+01,-9.000000000000152767e+00
-1.049999999999944933e+01,-2.949999999999948841e+01,-8.500000000000182965e+00
-8.999999999999440448e+00,-2.799999999999948130e+01,-8.000000000000163425e+00
-7.499999999999431566e+00,-2.649999999999947065e+01,-7.500000000000143885e+00
-5.999999999999423572e+00,-2.499999999999946354e+01,-7.000000000000174971e+00
-4.499999999999414690e+00,-2.349999999999945288e+01,-6.500000000000206057e+00
-2.999999999999406253e+00,-2.199999999999944578e+01,-6.000000000000186517e+00
-1.499999999999397815e+00,-2.049999999999943867e+01,-5.500000000000166978e+00
6.106664988409952194e-13,-1.899999999999942801e+01,-5.000000000000198064e+00
1.500000000000619060e+00,-1.749999999999942091e+01,-4.500000000000229150e+00
3.000000000000627498e+00,-1.599999999999941203e+01,-4.000000000000209610e+00
4.500000000000635936e+00,-1.449999999999940314e+01,-3.500000000000189626e+00
6.000000000000644818e+00,-1.299999999999939426e+01,-3.000000000000220712e+00
7.500000000000652811e+00,-1.149999999999938716e+01,-2.500000000000251799e+00
9.000000000000660805e+00,-9.999999999999378275e+00,-2.000000000000231815e+00
1.050000000000066969e+01,-8.499999999999369393e+00,-1.500000000000212053e+00
